# z u u_p F_integral F_diff k du_dz
4.450000000000000067e-01 2.187961265485625636e-06 2.190322649725938486e-06 5.022071304851469336e+02 5.021219625812939853e+02 1.817616412607654013e+02 -3.194327921114841593e-06
4.500000000000000111e-01 2.171755875970556852e-06 2.174180660550134363e-06 5.192865376985884041e+02 5.191985968722638063e+02 1.809556400765877981e+02 -3.288317004836036539e-06
4.550000000000000155e-01 2.155078095437265271e-06 2.157567652586054336e-06 5.367427709086471168e+02 5.366519487910640009e+02 1.801248286042367397e+02 -3.383251910364200990e-06
4.600000000000000200e-01 2.137923356866914842e-06 2.140479091710781078e-06 5.545787720365757423e+02 5.544849561511668981e+02 1.792688478500150211e+02 -3.479065773378502288e-06
4.650000000000000244e-01 2.120287437703480248e-06 2.122910788622099320e-06 5.727973156881241721e+02 5.727003893459603887e+02 1.783873475070598431e+02 -3.575687618009021007e-06
4.700000000000000289e-01 2.102166480686824632e-06 2.104858919567900134e-06 5.914009923800396109e+02 5.913008345767244691e+02 1.774799865999406734e+02 -3.673042246902377618e-06
4.750000000000000333e-01 2.083557015234456472e-06 2.086320047607218672e-06 6.103921903122245567e+02 6.102886756270330579e+02 1.765464341447415961e+02 -3.771050131830434312e-06
4.799999999999999822e-01 2.064455979368520289e-06 2.067291144397220917e-06 6.297730755688820636e+02 6.296660740668629614e+02 1.755863698245422029e+02 -3.869627305147512085e-06
4.849999999999999867e-01 2.044860742182981351e-06 2.047769612498637703e-06 6.495455706226831580e+02 6.494349477605917400e+02 1.745994846801308711e+02 -3.968685252429345839e-06
4.899999999999999911e-01 2.024769126844226831e-06 2.027753308190024131e-06 6.697113310059028208e+02 6.695969475430291595e+02 1.735854818157792465e+02 -4.068130806657112284e-06
4.949999999999999956e-01 2.004179434116410228e-06 2.007240564779013449e-06 6.902717200014415084e+02 6.901534319165650686e+02 1.725440771198483390e+02 -4.167866044339892730e-06
5.000000000000000000e-01 1.983090466400827903e-06 1.986230216396257320e-06 7.112277811947780037e+02 7.111054396104007083e+02 1.714749999999993690e+02 -4.267788184001755422e-06
5.050000000000000044e-01 1.961501552276392674e-06 1.964721622255012279e-06 7.325802087146583972e+02 7.324536598301762069e+02 1.703779941326888832e+02 -4.367789487495429157e-06
5.100000000000000089e-01 1.939412571525873612e-06 1.942714691356486184e-06 7.543293149761308314e+02 7.541984000116922289e+02 1.692528182266389649e+02 -4.467757164640030656e-06
5.150000000000000133e-01 1.916823980629992367e-06 1.920209907617761769e-06 7.764749957239251898e+02 7.763395508767820274e+02 1.680992467999097073e+02 -4.567573281717852866e-06
5.200000000000000178e-01 1.893736838708695083e-06 1.897208355395665337e-06 7.990166921567193867e+02 7.988765485723868096e+02 1.669170709701434987e+02 -4.667114674405413091e-06
5.250000000000000222e-01 1.870152833885938236e-06 1.873711745376189875e-06 8.219533498939393894e+02 8.218083336546631017e+02 1.657060992575324860e+02 -4.766252865753643346e-06
5.300000000000000266e-01 1.846074310051158650e-06 1.849722440794878302e-06 8.452833745255938993e+02 8.451333066589320424e+02 1.644661584000001255e+02 -4.864853989872932317e-06
5.350000000000000311e-01 1.821504293987208913e-06 1.825243483949196118e-06 8.690045834622056873e+02 8.688492799730954630e+02 1.631970941800231003e+02 -4.962778722020508199e-06
5.400000000000000355e-01 1.796446522830953568e-06 1.800278622958959565e-06 8.931141537757504238e+02 8.929534257055787521e+02 1.618987722625017227e+02 -5.059882215826488167e-06
5.450000000000000400e-01 1.770905471828944032e-06 1.774832338725693706e-06 9.176085656929717516e+02 9.174422192098957112e+02 1.605710790429902204e+02 -5.156014048434497816e-06
5.500000000000000444e-01 1.744886382346608589e-06 1.748909872036089236e-06 9.424835413694547697e+02 9.423113778946972161e+02 1.592139225055814507e+02 -5.251018174368889902e-06
5.550000000000000488e-01 1.718395290085255133e-06 1.722517250748486089e-06 9.677339785351109640e+02 9.675557949106018896e+02 1.578272330896523101e+02 -5.344732888970978984e-06
5.600000000000000533e-01 1.691439053456898800e-06 1.695661316994746587e-06 9.933538785588365272e+02 9.931694672623722226e+02 1.564109645646279318e+02 -5.436990802272585453e-06
5.650000000000000577e-01 1.664025382062529278e-06 1.668349754322603339e-06 1.019336268431087433e+03 1.019145417845905740e+03 1.549650949118550045e+02 -5.527618824191551330e-06
5.700000000000000622e-01 1.636162865214983286e-06 1.640591114695823345e-06 1.045673116106405132e+03 1.045475610853195803e+03 1.534896272126048018e+02 -5.616438161940454717e-06
5.750000000000000666e-01 1.607861000443124731e-06 1.612394845261195156e-06 1.072355238582655147e+03 1.072150859923058306e+03 1.519845905411713716e+02 -5.703264330531978283e-06
